artist,music,track
Tribalistas,"se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei

ao virar a esquina
atrás de uma cortina me perder
no escuro com você

fogo na fogueira
seu beijo e o desejo em seu olhar
as flores no altar

véu e grinalda
lua de mel
chuva de arroz
e tudo depois

dama de honra
pega o buquê
ninguém mais feliz
que eu e você

se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei

ao virar a esquina
atrás de uma cortina me perder
no escuro com você

fogo na fogueira
seu beijo e o desejo em seu olhar
as flores no altar

véu e grinalda
lua de mel
chuva de arroz
e tudo depois

dama de honra
pega o buquê
ninguém mais feliz
que eu e você

ninguém mais feliz
que eu e você

se um dia eu te encontrar
do jeito que sonhei
quem sabe ser seu par perfeito
e te amar
do jeito que eu imaginei",Aliança
Cartola,"deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar

quero assistir ao sol nascer
ver as águas dos rios correr
ouvir os pássaros cantar
eu quero nascer e quero viver

deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar

se alguém por mim perguntar
diga que eu só vou voltar
depois que eu me encontrar

quero assistir ao sol nascer
ver as águas dos rios correr
ouvir os pássaros cantar
eu quero nascer e quero viver

deixe-me ir, preciso andar
vou por aí a procurar
sorrir pra não chorar",Preciso Me Encontrar
Antônio Carlos Jobim,"é pau, é pedra, é o fim do caminho
é um resto de toco, é um pouco sozinho
é um caco de vidro, é a vida, é o sol
é a noite, é a morte, é um laço, é o anzol

é peroba do campo, é o nó da madeira
caingá, candeia, é o matita pereira
é madeira de vento, tombo da ribanceira
é o mistério profundo, é o queira ou não queira

é o vento ventando, é o fim da ladeira
é a viga, é o vão, festa da cumeeira
é a chuva chovendo, é conversa ribeira
das águas de março, é o fim da canseira

é o pé, é o chão, é a marcha estradeira
passarinho na mão, pedra de atiradeira
é uma ave no céu, é uma ave no chão
é um regato, é uma fonte, é um pedaço de pão

é o fundo do poço, é o fim do caminho
no rosto o desgosto, é um pouco sozinho
é um estrepe, é um prego, é uma ponta, é um ponto
é um pingo pingando, é uma conta é um conto

é um peixe, é um gesto, é uma prata brilhando
é a luz da manhã, é o tijolo chegando
é a lenha, é o dia, é o fim da picada
é a garrafa de cana, o estilhaço na estrada

é o projeto da casa, é o corpo na cama
é o carro enguiçado, é a lama, é a lama
é um passo, é uma ponte, é um sapo, é uma rã
é um resto de mato, na luz da manhã

são as águas de março fechando o verão
é a promessa de vida no teu coração

é uma cobra, é um pau, é joão, é josé
é um espinho na mão, é um corte no pé

são as águas de março fechando o verão
é a promessa de vida no teu coração

é pau, é pedra, é o fim do caminho
é um resto de toco, é um pouco sozinho
é um passo, é uma ponte, é um sapo, é uma rã
é um belo horizonte, é uma febre terçã

são as águas de março fechando o verão
é a promessa de vida no teu coração

pau, -edra, -fim, -inho,
-esto, -oco, -ouco, -inho,
-aco, -idro, -ida, -ol,
-oite, -orte, -aço, -azol

são as águas de março fechando o verão
é a promessa de vida no teu coração",Águas De Março
Zeca Baleiro,"eu não sei dizer
o que quer dizer
o que vou dizer
eu amo você
mas não sei o que
isso quer dizer
eu não sei por que
eu teimo em dizer
que amo você
se eu não sei dizer
o que quer dizer
o que vou dizer
se eu digo pare
você não repare
no que possa parecer
se eu digo siga
o que quer que eu diga
você não vai entender
mas se eu digo venha
você traz a lenha
pro meu fogo acender",Lenha
Alceu Valença,"na bruma leve das paixões que vêm de dentro
tu vens chegando pra brincar no meu quintal
no teu cavalo peito nu cabelo ao vento
e o sol quarando nossas roupas no varal
tu vens, tu vens
eu já escuto os teus sinais
a voz de um anjo sussurrou no meu ouvido
e eu não duvido já escuto os teus sinais
que tu virias numa manhã de domingo
eu te anuncio nos sinos das catedrais",Anunciação - Ao Vivo
Djavan,"eu não digo que não
ela é bela e fera
mas não pondera
e me deixa ""doindin""

quando eu penso que sim
ela dá de ombro
e eu me escombro ""sozin""

se com ela há muito mais luar
porque viver dias sombrios?
eu não posso me distanciar
e me perder dos seus carinhos
você é demais... muito mais pra mim

não é um bolero
é amor sincero, que a tudo resiste
não a ter do lado, me deixa abalado
e nada é mais triste
a vida é atoa, não fica de boa
quem não tem um querer
eu tenho de tudo mas me falta tudo
se eu não tenho você",Não é um Bolero
Lenine,"mesmo quando tudo pede um pouco mais de calma
até quando o corpo pede um pouco mais de alma
a vida não para

enquanto o tempo acelera e pede pressa
eu me recuso faço hora vou na valsa
a vida é tão rara

enquanto todo mundo espera a cura do mal
e a loucura finge que isso tudo é normal
eu finjo ter paciência
e o mundo vai girando cada vez mais veloz
a gente espera do mundo e o mundo espera de nós
um pouco mais de paciência

será que é tempo que lhe falta pra perceber
será que temos esse tempo pra perder
e quem quer saber
a vida é tão rara (tão rara)

mesmo quando tudo pede um pouco mais de calma
até quando o corpo pede um pouco mais de alma
eu sei, a vida não para (a vida não para não)

será que é tempo que lhe falta pra perceber
será que temos esse tempo pra perder
e quem quer saber
a vida é tão rara (tão rara)

mesmo quando tudo pede um pouco mais de calma
até quando o corpo pede um pouco mais de alma
eu sei, a vida é tão rara (a vida não para não) 
(a vida é tão rara)",Paciência
Raul Seixas,"eu prefiro ser
essa metamorfose ambulante
eu prefiro ser
essa metamorfose ambulante
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo

eu quero dizer
agora o oposto do que eu disse antes
eu prefiro ser
essa metamorfose ambulante
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo
sobre o que é o amor
sobre o que eu nem sei quem sou
se hoje eu sou estrela
amanhã já se apagou
se hoje eu te odeio
amanhã lhe tenho amor
lhe tenho amor
lhe tenho horror
lhe faço amor
eu sou um ator
é chato chegar
a um objetivo num instante
eu quero viver
nessa metamorfose ambulante
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo
sobre o que é o amor
sobre o que eu nem sei quem sou
se hoje eu sou estrela
amanhã já se apagou
se hoje eu te odeio
amanhã lhe tenho amor
lhe tenho amor
lhe tenho horror
lhe faço amor
eu sou um ator
eu vou desdizer
aquilo tudo que eu lhe disse antes
eu prefiro ser
essa metamorfose ambulante
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo
do que ter aquela velha velha velha velha velha
opinião formada sobre tudo
do que ter aquela velha opinião formada sobre tudo",Metamorfose ambulante
Patricia Marx,"os seus olhos são espelhos d'água
brilhando você, pra qualquer um
por onde esse amor andava
que não quis você de jeito algum
que vontade de ter você
que vontade de perguntar
se ainda é cedo

que vontade de merecer
um cantinho do seu olhar
mas tenho medo

os seus olhos são espelhos d`água
brilhando você, pra qualquer um
por onde esse amor andava
que não quis você de jeito algum
que vontade de ter você
que vontade de perguntar
se ainda é cedo
que vontade de merecer
um cantinho do teu olhar
mas tenho medo

que vontade de ter você
que vontade de perguntar
se ainda é cedo
que vontade de merecer
um cantinho do teu olhar
mas tenho medo

que ainda é cedo
mas tenho medo",Espelhos D'água
Caetano Veloso,"onde queres revólver, sou coqueiro
onde queres dinheiro, sou paixão
onde queres descanso, sou desejo
e onde sou só desejo, queres não
e onde não queres nada, nada falta
e onde voas bem alta, eu sou o chão
e onde pisas o chão, minha alma salta
e ganha liberdade na amplidão

onde queres família, sou maluco
e onde queres romântico, burguês
onde queres leblon, sou pernambuco
e onde queres eunuco, garanhão
onde queres o sim e o não, talvez
e onde vês, eu não vislumbro razão
onde o queres o lobo, eu sou o irmão
e onde queres cowboy, eu sou chinês

ah! bruta flor do querer
ah! bruta flor, bruta flor

onde queres o ato, eu sou o espírito
e onde queres ternura, eu sou tesão
onde queres o livre, decassílabo
e onde buscas o anjo, sou mulher
onde queres prazer, sou o que dói
e onde queres tortura, mansidão
onde queres um lar, revolução
e onde queres bandido, sou herói

eu queria querer-te amar o amor
construir-nos dulcíssima prisão
encontrar a mais justa adequação
tudo métrica e rima e nunca dor
mas a vida é real e de viés
e vê só que cilada o amor me armou
eu te quero (e não queres) como sou
não te quero (e não queres) como és

ah! bruta flor do querer
ah! bruta flor, bruta flor

onde queres comício, flipper-vídeo
e onde queres romance, rock'n roll
onde queres a lua, eu sou o sol
onde a pura natura, o inseticídio
onde queres mistério, eu sou a luz
e onde queres um canto, o mundo inteiro
onde queres quaresma, fevereiro
e onde queres coqueiro, eu sou obus

o quereres e o estares sempre a fim
do que em mim é de mim tão desigual
faz-me querer-te bem, querer-te mal
bem a ti, mal ao quereres assim
infinitivamente pessoal
e querendo querer-te sem ter fim
e, querendo-te, aprender o total
do querer que há e do que não há em mim

© editora gapa
62527177 brmca8400163",O Quereres
Cartola,"ainda é cedo, amor
mal começaste a conhecer a  vida
já anuncias a hora de partida
sem saber mesmo o rumo que irás tomar

preste atenção, querida
embora eu saiba que estás resolvida
em cada esquina cai um pouco tua vida
em pouco tempo não serás mais o que  és

ouça-me bem, amor
preste atenção o mundo é um moinho
vai triturar teus sonhos, tão mesquinho
vai reduzir as ilusões a pó

preste atenção, querida
de cada amor tu herdarás só o cinismo
quando notares estás a beira do abismo
abismo que cavaste com teus pés",O Mundo É Um Moinho
Marisa Monte,"penso em ficar quieto um pouquinho
lá no meio do som
peço salamaleikum, carinho, bênção, axé, shalom
passo devagarinho o caminho
que vai de tom em tom
posso ficar pensando no que é bom

vejo uma trilha clara pro meu brasil, apesar da dor
vertigem visionária que não carece de seguidor
nu com a minha música, afora isso somente amor
vislumbro certas coisas de onde estou

nu com meu violão, madrugada
nesse quarto de hotel
logo mais sai o ônibus pela estrada, embaixo do céu
o estado de são paulo é bonito
penso em você e eu
cheio dessa esperança que deus deu

quando eu cantar pra turba de araçatuba, verei você
já em barretos eu só via os operários do abc
quando eu chegar em americana, não sei o que vai ser
ás vezes é solitário viver

deixo fluir tranquilo
naquilo tudo que não tem fim
eu que existindo tudo comigo, depende só de mim
vaca, manacá, nuvem, saudade
cana, café, capim
coragem grande é poder dizer sim
coragem grande é poder dizer sim
coragem grande é poder dizer sim",Nu Com A Minha Música
Cazuza,"amor da minha vida
daqui até a eternidade
nossos destinos
foram traçados na maternidade

paixão cruel, desenfreada
te trago mil rosas roubadas
pra desculpar minhas mentiras
minhas mancadas

exagerado
jogado aos teus pés
eu sou mesmo exagerado
adoro um amor inventado

eu nunca mais vou respirar
se você não me notar
eu posso até morrer de fome
se você não me amar

e por você eu largo tudo
vou mendigar, roubar, matar
até nas coisas mais banais
pra mim é tudo ou nunca mais

exagerado
jogado aos teus pés
eu sou mesmo exagerado
adoro um amor inventado

e por você eu largo tudo
carreira, dinheiro, canudo
até nas coisas mais banais
pra mim é tudo ou nunca mais

exagerado
jogado aos teus pés
eu sou mesmo exagerado
adoro um amor inventado

jogado aos teus pés
com mil rosas roubadas
exagerado
eu adoro um amor inventado",Exagerado 3.0
Maria Gadú,"sai de si 
vem curar teu mal
te transbordo em som
põe juizo em mim
teu olhar me tirou daqui
ampliou meu ser
quero um pouco mais
não tudo 
pra gente não perder a graça no escuro
no fundo
pode ser até pouquinho
sendo só pra mim sim

olhe só 
como a noite cresce em glória
e a distância traz 
nosso amanhecer
deixa estar que o que for pra ser vigora
eu sou tão feliz
vamos dividir

os sonhos
que podem transformar o rumo da história
vem logo
que o tempo voa como eu
quando penso em você

olhe só 
como a noite cresce em glória
e a distância traz 
nosso amanhecer
deixa estar que o que for pra ser vigora
eu sou tão feliz
vamos dividir

os sonhos
que podem transformar o rumo da história
vem logo
que o tempo voa como eu
quando penso em você",Encontro
Ana Carolina,"eu e você
não é assim tão complicado
não é difícil perceber

quem de nós dois
vai dizer que é impossível
o amor acontecer

se eu disser
que já nem sinto nada
que a estrada sem você
é mais segura
eu sei você vai rir da minha cara
eu já conheço o teu sorriso
leio o teu olhar
teu sorriso é só disfarce
o que eu já nem preciso

sinto dizer que amo mesmo
tá ruim pra disfarçar
entre nós dois
não cabe mais nenhum segredo
além do que já combinamos

no vão das coisas que a gente disse
não cabe mais sermos somente amigos
e quando eu falo que eu já nem quero
a frase fica pelo avesso
meio na contra mão
e quando finjo que esqueço
eu não esqueci nada

e cada vez que eu fujo, eu me aproximo mais
e te perder de vista assim é ruim demais
e é por isso que atravesso o teu futuro
e faço das lembranças um lugar seguro
não é que eu queira reviver nenhum passado
nem revirar um sentimento revirado
mas toda vez que eu procuro uma saída
acabo entrando sem querer na sua vida

eu procurei qualquer desculpa pra não te encarar
pra não dizer de novo e sempre a mesma coisa
falar só por falar
que eu já não tô nem aí pra essa conversa
que a história de nós dois não me interessa
se eu tento esconder meias verdades
você conhece o meu sorriso
lê o meu olhar
meu sorriso é só disfarce
o que eu já nem preciso

e cada vez que eu fujo, eu me aproximo mais
e te perder de vista assim é ruim demais
e é por isso que atravesso o teu futuro
e faço das lembranças um lugar seguro
não é que eu queira reviver nenhum passado
nem revirar um sentimento revirado
mas toda vez que eu procuro uma saída
acabo entrando sem querer na sua vida",Quem de nós Dois (La Mia Storia Tra Le Dita)
Toquinho,"numa folha qualquer eu desenho um sol amarelo
e com cinco ou seis retas é fácil fazer um castelo
corro o lápis em torno da mão e me dou uma luva,
e se faço chover, com dois riscos tenho um guarda-chuva

se um pinguinho de tinta cai num pedacinho azul do papel,
num instante imagino uma linda gaivota a voar no céu
vai voando, contornando a imensa curva norte e sul,
vou com ela, viajando, havaí, pequim ou istambul
pinto um barco a vela branco, navegando, 
é tanto céu e mar num beijo azul
entre as nuvens vem surgindo um lindo avião rosa e grená
tudo em volta colorindo, com suas luzes á piscar
basta imaginar que ele está partindo, sereno, lindo,
e se a gente quiser, ele vai pousar

numa folha qualquer eu desenho um navio de partida
com alguns bons amigos bebendo de bem com a vida
de uma américa a outra consigo passar num segundo,
giro um simples compasso e num círculo eu faço o mundo

um menino caminha e caminhando chega no muro
e ali logo em frente, a esperar pela gente, o futuro está
e o futuro é uma astronave que tentamos pilotar,
não tem tempo nem piedade, nem tem hora de chegar
sem pedir licença muda nossa vida, depois convida a rir ou chorar

nessa estrada não nos cabe conhecer ou ver o que virá
o fim dela ninguém sabe bem ao certo onde vai dar
vamos todos numa linda passarela
de uma aquarela que um dia, enfim, descolorirá

(que descolorirá)
(que descolorirá)
(que descolorirá)",Aquarela
Marisa Monte,"depois de sonhar tantos anos
de fazer tantos planos
de um futuro pra nós
depois de tantos desenganos
nós nos abandonamos como tantos casais
quero que você seja feliz
hei de ser feliz também

depois de varar madrugada
esperando por nada
de arrastar-me no chão
em vão
tu viraste-me as costas
não me deu as respostas
que eu preciso escutar
quero que você seja melhor
hei de ser melhor também

nós dois
já tivemos momentos
mas passou nosso tempo
não podemos negar
foi bom
nós fizemos história
pra ficar na memória
e nos acompanhar
quero que você viva sem mim
eu vou conseguir também

depois de aceitarmos os fatos
vou trocar seus retratos pelos de um outro alguém
meu bem
vamos ter liberdade
para amar à vontade
sem trair mais ninguém
quero que você seja feliz
hei de ser feliz também
depois",Depois
Maria Rita,"perfumei o corredor,
perfumei  o elevador
pra tirar de vez o mau olhado
a saudade me esquentou
consertei o ventilador
pro teu corpo não ficar suado
nessa onda de calor
eu até peguei uma cor
tô com o corpo todo bronzeado

seja do jeito que for
eu te juro meu amor
se quiser voltar, tá perdoado.

fui a pé a salvador
de joelho ao redentor
pra ver nosso amor abençoado
nosso lar se enfeitou
a esperança germinou
ah, tem muita flor
pra todo lado
pra curar a minha dor
procurei um bom doutor
me mandou beijar teu beijo
mais molhado

seja do jeito que for
eu te juro, meu amor,
se quiser voltar, tá perdoado

e se voltar te dou café
preliminar com cafuné
pra deixar teu dia mais gostoso
pode almoçar o que quiser,
e repetir,
te dou colher
faz daquele jeito carinhoso
deixa pintar o entardecer
e o sol brincar de se esconder
tarde e chuva
eu fico mais fogosa
e vai ficando pro jantar
tu vai ver só,
pode esperar
que a noite será maravilhosa

pode almoçar o que quiser,
e repetir,
te dou colher
faz daquele jeito carinhoso
e vai ficando pro jantar
tu vai ver só,
pode esperar
que a noite será maravilhosa",Tá perdoado
Ivan Lins,"lembra de mim 
dos beijos que escrevi nos muros a giz 
os mais bonitos continuam por lá 
documentando que alguém foi feliz 

lembra de mim 
nós dois nas ruas provocando os casais 
amando mais do que o amor é capaz 
perto daqui há tempos atrás 

lembra de mim 
a gente sempre se casava ao luar 
depois jogava nossos corpos no mar 
tão naufragados e exaustos de amar 

lembra de mim 
se existe um pouco de prazer em sofrer 
querer te ver talvez eu fosse capaz 
perto daqui ou, tarde demais 

lembra de mim...",Lembra de Mim
Novos Baianos,"chegou a hora dessa gente bronzeada mostrar seu valor
eu fui à penha, fui pedir ao padroeiro para me ajudar
salve o morro do vintém, pendura a saia eu quero ver
eu quero ver o tio sam tocar pandeiro para o mundo sambar

o tio sam está querendo conhecer a nossa batucada
anda dizendo que o molho da baiana melhorou seu prato
vai entrar no cuzcuz, acarajé e abará
na casa branca já dançou a batucada de ioiô, iaiá

brasil, esquentai vossos pandeiros
iluminai os terreiros que nós queremos sambar!

há quem sambe diferente noutras terras, noutra gente
num batuque de matar
batucada, reunir nossos valores
pastorinhas e cantores
expressão que não tem par, ó meu brasil

brasil, esquentai vossos pandeiros
iluminai os terreiros que nós queremos sambar!

brasil, esquentai vossos pandeiros
iluminai os terreiros que nós queremos sambar!

ô, ô, sambar.
ô, ô, sambar...",Brasil Pandeiro
Tim Maia,"uh! uh! uh! que beleza!
uh! uh! uh! que beleza!
que beleza é sentir a natureza
ter certeza pr'onde vai 
e de onde vem
que beleza é vir da pureza
e sem medo distinguir 
o mal e o bem...
uh! uh! uh! que beleza!
uh! uh! uh! que beleza!
que beleza é saber seu nome
sua origem, seu passado 
e seu futuro.
que beleza é conhecer 
o desencanto
e ver tudo bem mais clar
no escuro...
uh! uh! uh! que beleza!
uh! uh! uh! que beleza!
abra a porta 
e vai entrando
felicidade vai 
brilhar no mundo
que beleza! que beleza!... 
uh! uh! uh! que beleza!
uh! uh! uh! que beleza!",Que Beleza
Djavan,"pai e mãe
ouro de mina
coração
desejo e sina
tudo mais
pura rotina
jazz...

tocarei seu nome
pra poder
falar de amor
minha princesa
art nouveau
da natureza
tudo mais
pura beleza
jazz...

a luz de um grande prazer
é irremediável néon
quando o grito do prazer
açoitar o ar
reveillon...
o luar
estrela do mar
o sol e o dom
quiçá um dia
a fúria, desse front
virá
lapidar o sonho
até gerar o som
como querer
caetanear
o que há de bom.



© 1982 luanda edições musicais ltda.",Sina
Novos Baianos,"enquanto eu corria, assim eu ia
eu ia lhe chamar enquanto corria a barca 

por minha cabeça não passava
só, só, somente só
assim vou lhe chamar, assim você vai ser 


lá iá lá lá iá, lá lá lá iá, lá iá
preta, preta, pretinha 
eu ia lhe chamar enquanto corria a barca

abre a porta e a janela e vem ver o sol nascer 

eu sou um pássaro que vivo avoando
vivo avoando sem nunca mais parar
ai, ai, ai, ai saudade não venha me matar 


by jpr",Preta Pretinha
Zé Ramalho,"eu desço dessa solidão
espalho coisas sobre um chão de giz
há, meros devaneios tolos a me torturar
fotografias recortadas em jornais de folhas, amiúde...
eu vou te jogar num pano de guardar confetes
eu vou te jogar num pano de guardar confetes

disparo balas de canhão
é inútil pois existe um grã-vizir
há tantas violetas velhas sem um colibri
queria usar, quem sabe, uma camisa de força ou de
vênus
mas não vou gozar de nós apenas um cigarro
nem vou lhe beijar, gastando assim o meu batom

agora pego um caminhão, na lona vou a nocaute outra
vez
pra sempre fui acorrentado no seu calcanhar
meus vinte anos de boy, that's over baby! freud
explica
não vou me sujar fumando apenas um cigarro
nem vou lhe beijar gastando assim o meu batom
quanto ao pano dos confetes, já passou meu carnaval
e isso explica por que o sexo é assunto popular.

no mais
estou indo embora
no mais
estou indo embora
no mais",Chão de Giz
Maria Bethânia,"samba da benção
(vinícius de moraes)

é melhor ser alegre que ser triste
alegria é a melhor coisa que existe
é assim como a luz no coração
mas pra fazer um samba um samba com beleza
é preciso um bocado de tristeza
senão não se faz um samba, não

fazer samba não é contar piada
quem faz samba assim não é de nada
o bom samba é uma forma de oração
porque o samba é a tristeza que balança
e a tristeza tem sempre uma esperança 
de um dia não ser mais triste não...

ponha um pouco de amor numa cadência
e vai ver que ninguém no mundo vence
a beleza que tem um samba não
porque o samba nasceu lá na bahia
e se hoje ele é branco na poesia
se hoje ele é branco na poesia
ele é negro demais no coração",Samba da Bênção
Rita Lee,"lança menina, lança todo este perfume
desbaratina não dá pra ficar imune
ao teu amor que tem cheiro de coisa maluca

vem cá meu bem, me descola um carinho
eu sou neném, só sossego com beijinho
e vê se me dá o prazer de ter prazer comigo

me aqueça
me vira de ponta cabeça
me faz de gato e sapato e...
me deixa de quatro no ato
me enche de amor, de amor

lança, lança perfume
oh oh oh oh lança, lança perfume
lança perfume....",Lança Perfume
Chico Buarque,"o que será que será
que andam suspirando pelas alcovas
que andam sussurrando em versos e trovas
que andam combinando no breu das tocas
que anda nas cabeças, anda nas bocas
que andam acendendo velas nos becos
que estão falando alto pelos botecos
que gritam nos mercados, que com certeza
está na natureza, será que será
o que não tem certeza, nem nunca terá
o que não tem conserto, nem nunca terá
o que não tem tamanho

o que será que será
que vive nas ideias desses amantes
que cantam os poetas mais delirantes
que juram os profetas embriagados
que está na romaria dos mutilados
que está na fantasia dos infelizes
que está no dia a dia das meretrizes
no plano dos bandidos, dos desvalidos
em todos os sentidos, será que será
o que não tem decência, nem nunca terá
o que não tem censura, nem nunca terá
o que não faz sentido

o que será que será
que todos os avisos não vão evitar
porque todos os risos vão desafiar
porque todos os sinos irão repicar
porque todos os hinos irão consagrar
e todos os meninos vão desembestar
e todos os destinos irão se encontrar
e mesmo o padre eterno que nunca foi lá
olhando aquele inferno, vai abençoar
o que não tem governo, nem nunca terá
o que não tem vergonha, nem nunca terá
o que não tem juízo",O Que Será (A Flor Da Terra)
Jorge Ben Jor,"oba lá vem ela estou de olho nela
não me importo que ela não me olhe
não diga nada e nem saiba que eu existo
quem eu sou pois eu sei muito bem que ela é
e fico contente só em ver ela passar
oba lá vem ela estou de olho nela
a noite é linda e ela mais ainda
todinha de rosa mais linda
mais meiga que uma rosa
oba lá vem ela estou de olho nela
não me importo que falem que pensem
pois sem saber ela é minha alegria
ela tem um perfume de uma flor que eu não sei o nome
mas ela deve ter um nome bonito igual a ela
oba lá vem ela estou de olho nela","Oba, Lá Vem Ela"
João Bosco,"caía a tarde feito um viaduto
e um bêbado trajando luto
me lembrou carlitos...
a lua
tal qual a dona do bordel
pedia a cada estrela fria
um brilho de aluguel
e nuvens!
lá no mata-borrão do céu
chupavam manchas torturadas
que sufoco!
louco!
o bêbado com chapéu-coco
fazia irreverências mil
prá noite do brasil.
meu brasil!...
que sonha com a volta
do irmão do henfil.
com tanta gente que partiu
num rabo de foguete
chora!
a nossa pátria
mãe gentil
choram marias
e clarisses
no solo do brasil...
mas sei, que uma dor
assim pungente
não há de ser inutilmente
a esperança...
dança na corda bamba
de sombrinha
e em cada passo
dessa linha
pode se machucar...
asas!
a esperança equilibrista
sabe que o show
de todo artista
tem que continuar.",O Bêbado e a Equilibrista
